,date,division,inflation_yoy,inflation_mom
252,2022-02-01,02,,
253,2022-03-01,02,,
254,2022-04-01,02,,
255,2022-05-01,02,,
256,2022-06-01,02,,
257,2022-07-01,02,,
258,2022-08-01,02,,
259,2022-09-01,02,,
260,2022-10-01,02,,
261,2022-11-01,02,,
262,2022-12-01,02,,
263,2023-01-01,02,,
264,2023-02-01,02,,
265,2023-03-01,02,,
266,2023-04-01,02,,
267,2023-05-01,02,,
268,2023-06-01,02,,
269,2023-07-01,02,,
270,2023-08-01,02,,
271,2023-09-01,02,,
272,2023-10-01,02,,
273,2023-11-01,02,,
274,2023-12-01,02,,
275,2024-01-01,02,,
276,2024-02-01,02,,
277,2024-03-01,02,,
278,2024-04-01,02,,
279,2024-05-01,02,,
280,2024-06-01,02,,
281,2024-07-01,02,,
282,2024-08-01,02,,
283,2024-09-01,02,,
284,2024-10-01,02,,
285,2024-11-01,02,,
286,2024-12-01,02,,
287,2025-01-01,02,,
288,2025-02-01,02,,
289,2025-03-01,02,,
290,2025-04-01,02,,
291,2025-05-01,02,,
292,2025-06-01,02,,
293,2025-07-01,02,,
294,2025-08-01,02,,
295,2025-09-01,02,,
296,2025-10-01,02,,
297,2025-11-01,02,,
298,2025-12-01,02,,
299,2026-01-01,02,,
300,2026-02-01,02,,
301,2026-03-01,02,,
302,2026-04-01,02,,
303,2026-05-01,02,,
304,2026-06-01,02,,
305,2026-07-01,02,,
306,2018-02-01,03,,-0.2
307,2018-03-01,03,,-0.1
308,2018-04-01,03,,0.1
309,2018-05-01,03,,-0.1
310,2018-06-01,03,,-2.6
311,2018-07-01,03,,-0.1
312,2018-08-01,03,,0.0
313,2018-09-01,03,,-0.1
314,2018-10-01,03,,0.0
315,2018-11-01,03,,-0.1
316,2018-12-01,03,,-0.2
317,2019-01-01,03,-3.3,0.1
318,2019-02-01,03,-3.2,-0.1
319,2019-03-01,03,-3.0,0.1
320,2019-04-01,03,-3.2,-0.1
321,2019-05-01,03,-3.2,-0.1
322,2019-06-01,03,-0.7,-0.1
323,2019-07-01,03,-1.1,-0.4
324,2019-08-01,03,-1.1,0.0
325,2019-09-01,03,-0.9,0.0
326,2019-10-01,03,-1.3,-0.3
327,2019-11-01,03,-1.1,0.1
328,2019-12-01,03,-1.0,-0.1
329,2020-01-01,03,-1.2,-0.1
330,2020-02-01,03,-1.1,0.0
331,2020-03-01,03,-1.3,-0.1
332,2020-04-01,03,-1.2,0.0
333,2020-05-01,03,-1.1,0.0
334,2020-06-01,03,-1.1,-0.1
335,2020-07-01,03,-0.6,0.0
336,2020-08-01,03,-0.6,0.0
337,2020-09-01,03,-0.6,0.0
338,2020-10-01,03,-0.4,-0.1
339,2020-11-01,03,-0.5,0.0
340,2020-12-01,03,-0.4,0.0
341,2021-01-01,03,-0.4,-0.1
342,2021-02-01,03,-0.4,0.0
343,2021-03-01,03,-0.3,0.0
344,2021-04-01,03,-0.4,-0.1
345,2021-05-01,03,-0.5,-0.1
346,2021-06-01,03,-0.4,0.0
347,2021-07-01,03,-0.4,0.0
348,2021-08-01,03,-0.4,0.0
349,2021-09-01,03,-0.5,-0.1
350,2021-10-01,03,-0.4,0.0
351,2021-11-01,03,-0.5,-0.1
352,2021-12-01,03,-0.4,0.1
353,2022-01-01,03,-0.3,0.0
354,2022-02-01,03,-0.2,0.1
355,2022-03-01,03,-0.3,-0.1
356,2022-04-01,03,-0.2,0.0
357,2022-05-01,03,0.0,0.1
358,2022-06-01,03,0.2,0.2
359,2022-07-01,03,0.3,0.1
360,2022-08-01,03,0.3,0.0
361,2022-09-01,03,0.4,0.0
362,2022-10-01,03,0.4,0.0
363,2022-11-01,03,0.5,0.0
364,2022-12-01,03,0.4,0.0
365,2023-01-01,03,0.5,0.1
366,2023-02-01,03,0.4,0.0
367,2023-03-01,03,0.5,0.0
368,2023-04-01,03,0.5,0.0
369,2023-05-01,03,0.4,0.0
370,2023-06-01,03,0.1,-0.1
371,2023-07-01,03,0.1,0.1
372,2023-08-01,03,0.0,-0.1
373,2023-09-01,03,0.1,0.1
374,2023-10-01,03,0.0,-0.1
375,2023-11-01,03,0.0,0.0
376,2023-12-01,03,0.0,0.0
377,2024-01-01,03,-0.2,-0.1
378,2024-02-01,03,-0.2,0.0
379,2024-03-01,03,-0.2,0.0
380,2024-04-01,03,-0.3,-0.1
381,2024-05-01,03,-0.2,0.1
382,2024-06-01,03,-0.1,0.0
