date,yield_close,daily_change,tot_vol,maturity_month,maturity_year
2021-03-01,3.05,-0.03,90.54,4,2031
2021-03-02,3.05,0.0,2.21,4,2031
2021-03-03,3.09,0.04,21.3,4,2031
2021-03-04,3.11,0.02,9.32,4,2031
2021-03-05,3.29,0.18,212.95,4,2031
2021-03-08,3.38,0.09,307.41,4,2031
2021-03-09,3.39,0.01,235.0,4,2031
2021-03-10,3.31,-0.08,87.09,4,2031
2021-03-11,3.16,-0.15,0.71,4,2031
2021-03-12,3.41,0.25,280.69,4,2031
2021-03-15,3.49,0.15,113.2,4,2031
2021-03-16,3.46,-0.03,236.61,4,2031
2021-03-17,3.43,-0.03,76.57,4,2031
2021-03-18,3.42,-0.01,63.17,4,2031
2021-03-19,3.45,0.03,4.82,4,2031
2021-03-22,3.44,-0.01,23.43,4,2031
2021-03-23,3.43,-0.01,30.71,4,2031
2021-03-24,3.39,-0.04,206.4,4,2031
2021-03-25,3.35,-0.04,105.27,4,2031
2021-03-26,3.33,-0.02,94.18,4,2031
2021-03-29,3.3,-0.03,8.97,4,2031
2021-03-30,3.32,0.03,131.27,4,2031
2021-03-31,3.24,-0.08,223.92,4,2031
2021-04-01,3.24,-0.03,22.24,4,2031
2021-04-02,3.15,-0.09,77.5,4,2031
2021-04-05,3.17,0.02,30.0,4,2031
2021-04-06,3.12,-0.05,140.0,4,2031
2021-04-07,3.08,-0.04,230.24,4,2031
2021-04-08,3.06,-0.02,139.81,4,2031
2021-04-09,3.04,-0.02,235.12,4,2031
2021-04-12,3.05,0.01,74.41,4,2031
2021-04-13,3.11,0.06,0.16,4,2031
2021-04-14,3.08,-0.03,16.1,4,2031
2021-04-16,3.06,-0.02,11.02,4,2031
2021-04-19,3.05,-0.01,0.41,4,2031
2021-04-20,3.09,0.04,5.02,4,2031
2021-04-22,3.07,-0.02,64.8,4,2031
2021-04-23,3.1,0.03,20.0,4,2031
2021-04-26,3.15,0.05,157.82,4,2031
2021-04-27,3.14,-0.01,9.7,4,2031
2021-04-28,3.19,0.05,3.23,4,2031
2021-04-30,3.11,-0.08,99.16,4,2031
2021-05-03,3.11,0.0,24.82,4,2031
2021-05-04,3.11,0.0,5.8,4,2031
2021-05-05,3.03,-0.08,772.08,4,2031
2021-05-06,3.08,0.05,54.24,4,2031
2021-05-07,3.08,0.0,36.0,4,2031
2021-05-10,3.09,0.01,55.76,4,2031
2021-05-11,3.1,0.01,145.96,4,2031
2021-05-12,3.14,0.04,0.15,4,2031
2021-05-17,3.14,3.14,35.27,4,2031
2021-05-18,3.21,0.07,102.86,4,2031
2021-05-19,3.21,0.0,120.33,4,2031
2021-05-20,3.2,-0.01,1.18,4,2031
2021-05-21,3.21,0.01,200.5,4,2031
2021-05-24,3.19,-0.02,420.54,4,2031
2021-05-25,3.2,-0.01,8.08,4,2031
2021-05-27,3.2,0.0,88.67,4,2031
2021-05-28,3.2,0.0,168.28,4,2031
2021-05-31,3.23,0.03,173.92,4,2031
2021-06-01,3.23,0.0,17.9,4,2031
2021-06-02,3.2,-0.03,164.15,4,2031
2021-06-03,3.27,0.07,32.25,4,2031
2021-06-04,3.24,-0.03,128.8,4,2031
2021-06-08,3.32,0.08,837.54,4,2031
2021-06-09,3.3,-0.02,563.69,4,2031
2021-06-10,3.28,-0.02,186.0,4,2031
2021-06-11,3.24,-0.04,146.56,4,2031
2021-06-14,3.25,0.01,25.25,4,2031
2021-06-15,3.29,0.04,187.7,4,2031
2021-06-16,3.27,-0.02,414.7,4,2031
2021-06-17,3.35,0.08,1232.76,4,2031
2021-06-18,3.28,-0.07,174.48,4,2031
2021-06-21,3.26,-0.02,321.71,4,2031
2021-06-22,3.3,0.04,22.91,4,2031
2021-06-23,3.28,-0.02,224.8,4,2031
2021-06-24,3.29,0.01,6.63,4,2031
2021-06-25,3.29,0.0,118.52,4,2031
2021-06-28,3.29,0.0,121.0,4,2031
2021-06-29,3.33,0.04,771.0,4,2031
2021-06-30,3.28,-0.05,311.42,4,2031
2021-07-01,3.27,-0.01,261.68,4,2031
2021-07-02,3.23,-0.04,376.72,4,2031
2021-07-05,3.19,-0.04,305.6,4,2031
2021-07-06,3.19,0.0,25.0,4,2031
2021-07-07,3.14,-0.05,177.7,4,2031
2021-07-08,3.15,0.01,420.83,4,2031
2021-07-09,3.2,0.05,492.43,4,2031
2021-07-12,3.27,0.1,421.9,4,2031
2021-07-13,3.24,-0.03,183.5,4,2031
2021-07-14,3.25,0.01,117.7,4,2031
2021-07-15,3.22,-0.03,662.66,4,2031
2021-07-16,3.2,-0.02,884.32,4,2031
2021-07-19,3.14,-0.06,670.0,4,2031
2021-07-21,3.1,-0.04,366.99,4,2031
2021-07-22,3.12,-0.1,75.41,4,2031
2021-07-26,3.13,0.01,55.9,4,2031
2021-07-27,3.16,0.03,46.97,4,2031
2021-07-28,3.17,0.01,23.8,4,2031
2021-07-29,3.16,-0.01,86.09,4,2031
2021-07-30,3.17,0.01,10.85,4,2031
2021-08-02,3.17,0.0,52.25,4,2031
2021-08-03,3.17,0.0,1.0,4,2031
2021-08-04,3.17,0.0,55.23,4,2031
2021-08-05,3.19,0.02,25.12,4,2031
2021-08-06,3.23,0.04,2.0,4,2031
2021-08-09,3.23,0.0,60.0,4,2031
2021-08-11,3.23,0.0,41.04,4,2031
2021-08-12,3.24,0.01,161.39,4,2031
2021-08-13,3.21,-0.03,148.51,4,2031
2021-08-16,3.21,0.0,18.56,4,2031
2021-08-17,3.21,0.0,15.0,4,2031
2021-08-18,3.24,0.03,94.72,4,2031
2021-08-19,3.23,-0.01,71.56,4,2031
2021-08-20,3.22,-0.01,19.38,4,2031
2021-08-23,3.22,0.0,1.79,4,2031
2021-08-24,3.23,0.01,4.5,4,2031
2021-08-25,3.24,0.01,120.16,4,2031
2021-08-26,3.25,0.01,82.03,4,2031
2021-08-27,3.23,-0.02,198.47,4,2031
2021-08-30,3.19,-0.04,18.9,4,2031
2021-09-01,3.2,0.01,133.13,4,2031
2021-09-02,3.2,0.0,38.57,4,2031
2021-09-03,3.19,-0.01,20.0,4,2031
2021-09-06,3.22,0.03,30.51,4,2031
2021-09-08,3.22,0.0,42.59,4,2031
2021-09-09,3.22,0.0,61.35,4,2031
2021-09-10,3.24,0.02,20.0,4,2031
2021-09-13,3.25,0.01,42.46,4,2031
2021-09-14,3.3,0.05,63.99,4,2031
2021-09-15,3.3,0.0,863.82,4,2031
2021-09-17,3.32,0.02,249.15,4,2031
2021-09-20,3.35,0.03,151.2,4,2031
2021-09-21,3.36,0.01,193.93,4,2031
2021-09-22,3.36,0.0,0.9,4,2031
2021-09-23,3.35,-0.01,322.86,4,2031
2021-09-24,3.39,0.04,418.31,4,2031
2021-09-27,3.41,0.02,536.21,4,2031
2021-09-28,3.44,0.03,243.58,4,2031
2021-09-29,3.41,-0.03,324.6,4,2031
2021-09-30,3.37,-0.04,635.85,4,2031
2021-10-01,3.38,0.01,267.86,4,2031
2021-10-04,3.38,0.0,141.4,4,2031
2021-10-05,3.45,0.07,194.19,4,2031
2021-10-06,3.58,0.13,331.67,4,2031
2021-10-07,3.59,0.09,577.0,4,2031
2021-10-08,3.63,0.04,474.21,4,2031
2021-10-11,3.67,0.04,481.61,4,2031
2021-10-12,3.62,-0.05,585.53,4,2031
2021-10-13,3.57,-0.05,148.27,4,2031
2021-10-14,3.53,-0.04,123.9,4,2031
2021-10-15,3.55,0.02,161.68,4,2031
2021-10-18,3.56,0.01,3.0,4,2031
2021-10-20,3.61,0.05,110.3,4,2031
2021-10-21,3.6,-0.01,114.42,4,2031
2021-10-22,3.63,0.03,70.0,4,2031
2021-10-25,3.61,-0.02,11.97,4,2031
2021-10-26,3.59,-0.02,63.18,4,2031
2021-10-27,3.58,-0.01,179.6,4,2031
2021-10-29,3.58,0.0,92.5,4,2031
2021-11-01,3.64,0.06,58.64,4,2031
2021-11-02,3.64,0.0,20.91,4,2031
2021-11-05,3.57,-0.07,214.56,4,2031
2021-11-08,3.53,-0.04,150.19,4,2031
2021-11-09,3.5,-0.03,37.81,4,2031
2021-11-10,3.52,0.02,237.94,4,2031
2021-11-11,3.56,0.04,143.53,4,2031
2021-11-12,3.57,0.01,270.0,4,2031
2021-11-15,3.52,-0.05,32.16,4,2031
2021-11-16,3.57,0.05,183.55,4,2031
2021-11-17,3.57,0.0,52.45,4,2031
